Report_Date,Fund_Code,Fund_Name,Security_Code,Security_Name,Asset_Type_1,Asset_Type_2,Asset_Type_3,Bloomberg_Sector_L1,Bloomberg_Sector_L2,GICS_L1,Country,Region,Currency,Rating,Quantity,Nominal_Amount,Market_Value_Base_Currency,Exposure_Base_Currency,Parent_Fund_Code,Parent_Fund_Name,Accounting_Code,Report_Subset
2023-11-09 00:00:00,FND019,Delta Fund,SEC000033,Security A,A,I,K,Financials,Oil & Gas,Health Care,Spain,Europe,USD,AAA,3666,22434710.24,8868876.975,37722248.11,PFND03,European Parent Fund,AC04,RESTATED
2023-07-21 00:00:00,FND004,Beta Fund,SEC000034,Security A,B,J,P,Financials,Metals,Financials,Netherlands,Europe,USD,A,3582,30162353.96,-3946753.161,-9928214.648,PFND05,European Parent Fund,AC03,ADJ
2024-04-07 00:00:00,FND011,Zeta Fund,SEC000035,Security E,A,G,L,Financials,Pharma,Utilities,Netherlands,Europe,USD,AAA,1135,92544518.41,-3521217.912,31238444.72,PFND03,,AC02,MAIN
2024-07-04 00:00:00,FND001,Lambda Fund,SEC000036,Security F,C,G,M,Energy,Electric,Health Care,Netherlands,North America,EUR,A,6234,42743967.06,3140436.893,-28387336.93,PFND03,Global Parent Fund,AC04,MAIN
2024-05-09 00:00:00,FND006,Sigma Fund,SEC000037,Security B,A,H,M,Industrials,Pharma,Energy,US,Asia,EUR,AA,16567,92086665.39,5589203.642,-39242898.81,PFND03,,AC03,RESTATED
2023-05-18 00:00:00,FND011,Delta Fund,SEC000038,Security G,D,H,O,Energy,Oil & Gas,Information Technology,Germany,Europe,GBP,B,5564,72595515.28,-6098672.814,-29848860.76,,European Parent Fund,AC01,MAIN
2024-04-28 00:00:00,FND005,Sigma Fund,SEC000039,Security E,A,I,M,Energy,Pharma,Financials,France,Europe,USD,AA,2466,60641520.99,4031344.267,-42990436.67,PFND04,European Parent Fund,AC01,MAIN
2023-07-15 00:00:00,FND001,Omega Fund,SEC000040,Security G,D,H,L,Industrials,Software,Industrials,Spain,Europe,EUR,BB,13583,184600.1487,5359041.228,-49624764.45,PFND05,Global Parent Fund,AC04,MAIN
2023-03-14 00:00:00,FND019,Zeta Fund,SEC000041,Security G,D,J,O,Utilities,Pharma,Utilities,France,Europe,USD,B,9702,87161232.49,2338174.695,16516624.72,PFND03,,AC02,ADJ
2023-09-15 00:00:00,FND019,Zeta Fund,SEC000042,Security A,C,I,O,Energy,Software,Materials,Spain,Asia,JPY,CCC,9498,64300643.15,755862.9834,39551861.79,PFND04,,AC04,ADJ
2024-12-05 00:00:00,FND020,Sigma Fund,SEC000043,Security D,D,J,L,Materials,Metals,Utilities,Italy,North America,EUR,BBB,1901,78347674.76,-5151816.096,1286623.208,PFND04,,AC02,ADJ
2024-02-05 00:00:00,FND007,Lambda Fund,SEC000044,Security B,C,F,K,Financials,Software,Energy,US,North America,GBP,A,17765,35981400.28,-1135859.722,-9500943.139,,European Parent Fund,AC04,RESTATED
2024-01-10 00:00:00,FND001,Zeta Fund,SEC000045,Security E,B,G,N,Utilities,Metals,Energy,Netherlands,Europe,CAD,,13594,159915.2458,-2397616.671,-31849052.22,PFND04,European Parent Fund,AC04,MAIN
2023-12-16 00:00:00,FND001,Alpha Fund,SEC000046,Security G,C,F,N,Utilities,Electric,Information Technology,Germany,Asia,USD,,12231,5183457.044,-1857585.945,-40988963.52,PFND02,Growth Parent Fund,AC01,MAIN
2024-08-27 00:00:00,FND010,Gamma Fund,SEC000047,Security D,B,G,M,Materials,Machinery,Financials,Japan,Asia,USD,BBB,3004,45891414.79,-6502214.453,-47286103.45,PFND04,European Parent Fund,AC02,ADJ
2024-08-06 00:00:00,FND017,Delta Fund,SEC000048,Security E,B,J,M,Materials,Banks,Materials,Japan,Asia,EUR,BB,18668,65566584.83,-7052534.921,24751103.97,,European Parent Fund,AC02,ADJ
2023-10-07 00:00:00,FND006,Beta Fund,SEC000049,Security B,D,F,P,Technology,Banks,Utilities,Canada,Europe,GBP,A,3973,45925638.94,-6499461.595,-49433899.53,PFND04,European Parent Fund,AC01,MAIN
2024-06-06 00:00:00,FND013,Gamma Fund,SEC000050,Security B,C,H,O,Materials,Metals,Utilities,Germany,Europe,GBP,BB,7127,80914698.5,6031138.775,-2052975.939,PFND01,European Parent Fund,AC02,ADJ
2024-03-24 00:00:00,FND020,Zeta Fund,SEC000051,Security C,C,F,M,Technology,Electric,Materials,Italy,Asia,GBP,BBB,2828,20901220.46,-3246944.153,43758440.83,PFND02,Growth Parent Fund,AC04,MAIN
2023-11-14 00:00:00,FND003,Alpha Fund,SEC000052,Security E,B,G,P,Industrials,Machinery,Financials,Netherlands,Europe,USD,A,2965,29533948.27,-6085221.511,36302510.14,,Global Parent Fund,AC02,MAIN
2024-01-27 00:00:00,FND010,Delta Fund,SEC000053,Security E,A,I,L,Energy,Oil & Gas,Information Technology,Netherlands,North America,GBP,AAA,12767,64559407.1,-4452898.147,24910512.05,PFND01,Growth Parent Fund,AC02,RESTATED
2023-06-01 00:00:00,FND020,Lambda Fund,SEC000054,Security B,A,H,K,Utilities,Machinery,Information Technology,Italy,Asia,USD,AAA,13112,98237660.64,3375934.483,13764904.75,PFND01,European Parent Fund,AC04,ADJ
2023-04-03 00:00:00,FND006,Beta Fund,SEC000055,Security E,E,H,N,Healthcare,Banks,Energy,UK,Asia,EUR,A,16660,69853154.77,3731191.275,-19861703.01,PFND02,Growth Parent Fund,AC04,ADJ
2023-08-13 00:00:00,FND017,Omega Fund,SEC000056,Security D,D,F,P,Technology,Machinery,Financials,Netherlands,Europe,GBP,A,19898,43277252.74,-7939024.672,-44341402.75,,,AC04,ADJ
2024-10-23 00:00:00,FND012,Delta Fund,SEC000057,Security F,C,G,K,Energy,Electric,Health Care,Japan,North America,USD,BBB,9149,70080151.16,-3665541.775,47387033.95,PFND02,Growth Parent Fund,AC03,RESTATED
2023-12-23 00:00:00,FND006,Omega Fund,SEC000058,Security B,B,F,O,Energy,Metals,Energy,Germany,North America,CAD,,11726,12443089.41,2208565.63,1945591.138,,European Parent Fund,AC02,ADJ
2024-04-26 00:00:00,FND007,Alpha Fund,SEC000059,Security G,C,H,P,Industrials,Pharma,Utilities,France,North America,CAD,BBB,8000,29241440.1,-7731450.02,13199038.73,PFND02,,AC02,ADJ
2024-08-02 00:00:00,FND006,Omega Fund,SEC000060,Security F,B,H,L,Utilities,Banks,Utilities,UK,Europe,CAD,CCC,14309,63094278.59,-6813292.108,-40459442.06,PFND01,Growth Parent Fund,AC01,RESTATED
2023-08-08 00:00:00,FND014,Gamma Fund,SEC000061,Security C,A,J,K,Technology,Oil & Gas,Utilities,Spain,Asia,USD,BB,518,68256470.57,-8538787.314,-48376085.11,PFND04,Growth Parent Fund,AC03,ADJ
2024-04-26 00:00:00,FND004,Delta Fund,SEC000062,Security F,D,H,N,Healthcare,Metals,Energy,US,Europe,EUR,AAA,12776,83842224.85,4841833.263,-3206948.784,PFND03,European Parent Fund,AC03,RESTATED
2023-01-20 00:00:00,FND020,Omega Fund,SEC000063,Security E,C,J,O,Financials,Oil & Gas,Industrials,France,Europe,CAD,AAA,8522,17536447.29,4572656.981,-45363700.96,PFND01,,AC04,ADJ
2024-05-31 00:00:00,FND013,Lambda Fund,SEC000064,Security C,D,F,P,Materials,Pharma,Information Technology,Germany,North America,GBP,A,11472,2634749.53,9392451.556,-24049743.01,PFND05,Growth Parent Fund,AC03,MAIN
2023-02-03 00:00:00,FND010,Beta Fund,SEC000065,Security E,D,H,K,Materials,Metals,Materials,France,Europe,CAD,CCC,5062,53647763.16,-2391774.071,45139501.5,PFND03,European Parent Fund,AC04,MAIN
2023-05-04 00:00:00,FND011,Lambda Fund,SEC000066,Security F,B,I,O,Financials,Pharma,Materials,Japan,North America,USD,B,5157,88045206.59,5696269.187,-2008532.779,PFND05,European Parent Fund,AC04,RESTATED
2023-10-14 00:00:00,FND012,Delta Fund,SEC000067,Security D,D,G,O,Financials,Software,Information Technology,Italy,Europe,CAD,,8094,45467173.32,6095391.999,20594875.85,PFND01,Global Parent Fund,AC01,MAIN
2024-11-28 00:00:00,FND007,Alpha Fund,SEC000068,Security E,B,I,O,Utilities,Pharma,Financials,Germany,Asia,USD,BB,15495,2186392.258,3081313.008,-14501263.52,PFND05,European Parent Fund,AC03,MAIN
2024-02-20 00:00:00,FND005,Lambda Fund,SEC000069,Security G,B,H,O,Industrials,Electric,Financials,Spain,Europe,JPY,BBB,16034,1519026.301,8684098.733,-12367333.67,PFND01,,AC02,ADJ
2023-05-11 00:00:00,FND008,Gamma Fund,SEC000070,Security E,B,H,P,Utilities,Pharma,Energy,US,North America,USD,BBB,14937,41498540.1,-5710423.49,11064197.13,PFND03,,AC01,ADJ
2023-03-25 00:00:00,FND013,Zeta Fund,SEC000071,Security F,B,J,O,Utilities,Oil & Gas,Energy,Netherlands,Asia,EUR,BB,7687,79207120.28,-3346480.117,-32649597.59,PFND03,European Parent Fund,AC04,MAIN
2024-02-07 00:00:00,FND003,Gamma Fund,SEC000072,Security B,C,H,K,Energy,Software,Health Care,Japan,Europe,GBP,CCC,13019,7664426.434,-628706.7678,-19544200.46,PFND04,Global Parent Fund,AC02,ADJ
2023-01-22 00:00:00,FND008,Alpha Fund,SEC000073,Security B,C,J,O,Technology,Software,Financials,Germany,Asia,USD,B,14449,19930453,-5148074.481,26180209.61,PFND01,Growth Parent Fund,AC03,ADJ
2024-09-23 00:00:00,FND013,Delta Fund,SEC000074,Security B,E,I,L,Financials,Machinery,Materials,France,Europe,JPY,AAA,13063,78773545.41,-9875497.606,48983356.64,,Growth Parent Fund,AC01,RESTATED
2024-08-02 00:00:00,FND017,Alpha Fund,SEC000075,Security G,B,F,M,Technology,Metals,Materials,Germany,Europe,CAD,BB,16306,60797850.01,824748.2379,47846048.93,PFND01,Global Parent Fund,AC02,MAIN
2023-07-23 00:00:00,FND019,Alpha Fund,SEC000076,Security B,A,F,M,Energy,Pharma,Information Technology,Japan,Europe,EUR,BB,847,65995590.37,-9434751.689,-27290866.99,PFND04,Growth Parent Fund,AC03,RESTATED
2023-02-17 00:00:00,FND009,Gamma Fund,SEC000077,Security A,D,H,P,Technology,Machinery,Utilities,US,Europe,EUR,A,19516,63198103.66,6976470.87,2399951.117,PFND02,European Parent Fund,AC02,ADJ
2024-06-08 00:00:00,FND019,Sigma Fund,SEC000078,Security F,A,F,K,Utilities,Metals,Energy,Netherlands,Asia,USD,A,15291,41092513.02,4123181.506,-6315845.742,,European Parent Fund,AC03,MAIN
2023-12-16 00:00:00,FND003,Zeta Fund,SEC000079,Security A,E,F,L,Healthcare,Machinery,Information Technology,Spain,North America,JPY,,5108,23808448.94,-104069.9375,36717241.02,PFND05,,AC01,MAIN
2023-04-18 00:00:00,FND017,Beta Fund,SEC000080,Security D,E,H,N,Energy,Machinery,Health Care,Canada,Asia,GBP,B,17435,69410879.93,1100582.002,-34852917.33,PFND02,European Parent Fund,AC03,RESTATED
2024-01-29 00:00:00,FND004,Delta Fund,SEC000081,Security B,B,I,M,Healthcare,Software,Health Care,France,North America,CAD,AAA,6449,93249118.8,1806383.304,20923740,PFND02,Growth Parent Fund,AC01,MAIN
2024-09-14 00:00:00,FND016,Alpha Fund,SEC000082,Security F,E,G,P,Healthcare,Software,Utilities,Spain,North America,GBP,BBB,9551,86030996.39,-1266558.27,-30537238.37,PFND02,Growth Parent Fund,AC04,MAIN
2024-10-16 00:00:00,FND018,Gamma Fund,SEC000083,Security E,D,J,L,Industrials,Pharma,Energy,Germany,Europe,EUR,AAA,11511,9094791.395,8128472.486,7828947.062,PFND02,,AC01,MAIN
2024-09-28 00:00:00,FND019,Sigma Fund,SEC000084,Security D,C,F,N,Utilities,Electric,Industrials,Netherlands,North America,GBP,CCC,2084,21335578.31,8108951.126,8654334.318,PFND03,Global Parent Fund,AC04,ADJ
2023-10-04 00:00:00,FND018,Gamma Fund,SEC000085,Security B,E,I,L,Healthcare,Electric,Energy,Italy,Europe,GBP,BB,12381,37951180.39,8329569.241,-49435371.67,PFND04,Growth Parent Fund,AC03,RESTATED
2023-11-06 00:00:00,FND018,Gamma Fund,SEC000086,Security A,B,G,L,Industrials,Machinery,Materials,Germany,Asia,CAD,,8818,22884682.81,7867322.994,33371985.17,PFND02,Global Parent Fund,AC01,ADJ
2023-02-05 00:00:00,FND010,Sigma Fund,SEC000087,Security A,D,G,K,Industrials,Metals,Utilities,Japan,Asia,GBP,AAA,17092,26067767.95,-4365673.996,-31240579.17,PFND01,European Parent Fund,AC01,RESTATED
2023-09-18 00:00:00,FND014,Lambda Fund,SEC000088,Security G,A,J,O,Energy,Banks,Health Care,Canada,Europe,EUR,CCC,13531,45924926.2,7436981.246,14429248.73,PFND05,European Parent Fund,AC02,RESTATED
2024-04-01 00:00:00,FND006,Lambda Fund,SEC000089,Security D,C,F,N,Financials,Banks,Utilities,Germany,Asia,CAD,CCC,8088,26174772.63,1521148.521,-16674316.62,PFND05,European Parent Fund,AC01,RESTATED
2024-04-19 00:00:00,FND020,Delta Fund,SEC000090,Security C,E,J,M,Financials,Metals,Information Technology,Italy,Europe,USD,CCC,17522,62044572.72,-2326857.722,-48181329.7,PFND04,,AC02,RESTATED
2024-07-20 00:00:00,FND020,Zeta Fund,SEC000091,Security B,E,H,P,Technology,Metals,Information Technology,UK,Asia,JPY,BB,16506,62335797.46,-4794714.181,23645819.58,PFND01,Growth Parent Fund,AC03,RESTATED
2024-07-09 00:00:00,FND001,Alpha Fund,SEC000092,Security G,A,H,P,Materials,Machinery,Utilities,UK,Asia,EUR,,4833,19323141.89,242213.0307,-31250639.41,PFND04,Global Parent Fund,AC04,ADJ
2023-08-04 00:00:00,FND003,Alpha Fund,SEC000093,Security D,E,H,M,Healthcare,Electric,Energy,Canada,Asia,EUR,AAA,17500,89802426.23,8008256.17,31269570.1,PFND03,Growth Parent Fund,AC04,MAIN
2024-03-10 00:00:00,FND016,Sigma Fund,SEC000094,Security C,B,I,K,Healthcare,Metals,Materials,Canada,Europe,EUR,AAA,14485,59346349.29,-3845007.519,-39866471.76,PFND02,,AC04,MAIN
2023-02-09 00:00:00,FND008,Alpha Fund,SEC000095,Security A,A,I,K,Utilities,Software,Health Care,Germany,Europe,USD,B,1971,42318946.52,6169759.789,27769245.95,PFND04,Global Parent Fund,AC02,ADJ
2023-05-12 00:00:00,FND019,Beta Fund,SEC000096,Security A,C,J,L,Utilities,Electric,Utilities,US,Europe,CAD,BB,13007,68028887.16,397379.3669,24159658.58,PFND05,European Parent Fund,AC04,MAIN
2024-02-18 00:00:00,FND014,Alpha Fund,SEC000097,Security E,B,F,P,Materials,Oil & Gas,Health Care,Italy,Europe,CAD,B,7981,86295174.49,6972893.607,42339754.71,PFND01,Growth Parent Fund,AC04,MAIN
2024-04-05 00:00:00,FND004,Sigma Fund,SEC000098,Security B,C,J,L,Financials,Software,Health Care,Japan,North America,JPY,A,18428,33846599.34,-9140769.95,-49332587.29,PFND05,,AC04,ADJ
2024-10-10 00:00:00,FND015,Delta Fund,SEC000099,Security F,B,G,N,Utilities,Electric,Energy,France,Asia,JPY,CCC,7167,91964284.92,-9569308.063,2939317.319,,,AC03,RESTATED
2024-07-20 00:00:00,FND011,Lambda Fund,SEC000100,Security E,C,H,L,Healthcare,Machinery,Energy,Canada,North America,GBP,AA,4292,75520911.67,6106798.192,43425762.04,PFND02,European Parent Fund,AC01,MAIN
2024-11-09 00:00:00,FND005,Sigma Fund,SEC000101,Security C,A,I,P,Energy,Software,Materials,Canada,Asia,CAD,B,876,11456775.36,1644776.579,-9522326.207,PFND01,Growth Parent Fund,AC03,MAIN
2024-01-09 00:00:00,FND008,Sigma Fund,SEC000102,Security C,E,H,L,Healthcare,Oil & Gas,Energy,Spain,Europe,GBP,AAA,10186,8852321.753,-7905100.974,15195729.4,,Global Parent Fund,AC04,RESTATED
2024-12-11 00:00:00,FND010,Omega Fund,SEC000103,Security F,D,G,P,Healthcare,Metals,Materials,Netherlands,North America,GBP,,10069,14580450.45,935266.3374,22114691.81,PFND05,,AC03,ADJ
2024-10-23 00:00:00,FND001,Zeta Fund,SEC000104,Security E,B,I,O,Industrials,Electric,Financials,France,Asia,GBP,CCC,4453,95976844.14,-3275689.457,47444359.27,PFND04,Growth Parent Fund,AC02,MAIN
2023-02-14 00:00:00,FND003,Alpha Fund,SEC000105,Security F,D,F,K,Utilities,Machinery,Materials,US,Asia,GBP,A,5220,55072359.65,1983820.499,-8524540.659,PFND01,,AC03,ADJ
2024-10-09 00:00:00,FND018,Delta Fund,SEC000106,Security B,B,G,N,Technology,Pharma,Industrials,UK,Asia,USD,BB,3984,93113991.51,1444853.634,1903877.887,,Global Parent Fund,AC03,MAIN
2024-12-22 00:00:00,FND018,Alpha Fund,SEC000107,Security A,C,F,L,Healthcare,Pharma,Materials,UK,North America,GBP,CCC,13741,25834540.67,7476267.758,14353985.96,PFND02,,AC04,RESTATED
2024-05-10 00:00:00,FND019,Delta Fund,SEC000108,Security E,A,F,O,Industrials,Machinery,Energy,Netherlands,Europe,GBP,A,678,8311234.419,6414455.218,-16509565.77,PFND01,Growth Parent Fund,AC04,RESTATED
2023-07-17 00:00:00,FND008,Lambda Fund,SEC000109,Security D,D,F,P,Healthcare,Pharma,Industrials,Canada,Asia,EUR,B,9883,51281999.02,-9779643.755,-11804757.54,PFND01,Growth Parent Fund,AC03,MAIN
2023-04-11 00:00:00,FND003,Zeta Fund,SEC000110,Security B,A,I,N,Energy,Machinery,Information Technology,Germany,Asia,USD,CCC,24,63804619.53,7263433.735,26768674.18,,European Parent Fund,AC01,MAIN
2023-06-30 00:00:00,FND012,Gamma Fund,SEC000111,Security C,C,H,K,Industrials,Metals,Financials,Italy,Europe,GBP,,19223,72572854.74,5548735.075,49842818.39,PFND04,Global Parent Fund,AC03,MAIN
2023-06-19 00:00:00,FND001,Gamma Fund,SEC000112,Security A,A,I,M,Materials,Pharma,Industrials,Italy,Europe,USD,AA,19091,15004727.98,-2931712.365,-10979908.65,PFND04,,AC04,MAIN
2023-01-30 00:00:00,FND011,Beta Fund,SEC000113,Security G,B,J,L,Energy,Metals,Financials,Italy,North America,USD,B,19049,14222311.88,-5316384.237,-43308073.39,,Growth Parent Fund,AC04,MAIN
2023-10-10 00:00:00,FND019,Zeta Fund,SEC000114,Security E,A,J,N,Healthcare,Software,Materials,Netherlands,North America,USD,AA,1692,53081008.64,-2559141.139,22473838.67,PFND01,Growth Parent Fund,AC03,MAIN
2023-07-10 00:00:00,FND017,Sigma Fund,SEC000115,Security E,C,F,N,Utilities,Metals,Health Care,UK,Asia,CAD,BB,19297,59784399.15,-6733287.863,43512830.32,PFND05,European Parent Fund,AC03,RESTATED
2024-12-27 00:00:00,FND012,Beta Fund,SEC000116,Security C,E,F,K,Healthcare,Metals,Financials,France,Europe,USD,BBB,6937,30516081.29,-5738144.274,35331172.66,PFND02,European Parent Fund,AC04,MAIN
2023-01-13 00:00:00,FND001,Lambda Fund,SEC000117,Security A,A,G,O,Energy,Machinery,Health Care,Italy,North America,JPY,A,10427,26320281.38,-9704495.492,-19741515.91,PFND02,Growth Parent Fund,AC01,RESTATED
2024-10-08 00:00:00,FND019,Beta Fund,SEC000118,Security E,E,F,O,Healthcare,Oil & Gas,Financials,US,North America,JPY,AA,14731,14889351.81,-6564296.532,-6910024.64,PFND04,Global Parent Fund,AC03,ADJ
2024-05-03 00:00:00,FND017,Gamma Fund,SEC000119,Security E,E,G,N,Materials,Software,Financials,Spain,Europe,EUR,AAA,6086,12812039.9,7175377.819,-5059023.671,PFND03,European Parent Fund,AC01,MAIN
2024-03-19 00:00:00,FND013,Omega Fund,SEC000120,Security E,C,F,P,Technology,Software,Health Care,Germany,Asia,CAD,AAA,702,51935364.35,2500796.944,42676664.76,PFND01,European Parent Fund,AC03,MAIN
2023-04-17 00:00:00,FND001,Omega Fund,SEC000121,Security C,D,J,N,Healthcare,Oil & Gas,Information Technology,France,Asia,EUR,,15200,19322042.13,-1394342.709,-18391220.27,PFND04,Growth Parent Fund,AC03,ADJ
